"date","chicken"
2001.58333333333,65.58
2001.66666666667,66.48
2001.75,65.7
2001.83333333333,64.33
2001.91666666667,63.23
2002,62.94
2002.08333333333,62.92
2002.16666666667,62.73
2002.25,62.5
2002.33333333333,63.35
2002.41666666667,63.8
2002.5,64.21
2002.58333333333,64.11
2002.66666666667,64.04
2002.75,63
2002.83333333333,61.9
2002.91666666667,61.49
2003,62.27
2003.08333333333,63.13
2003.16666666667,63.86
2003.25,63.53
2003.33333333333,64.6
2003.41666666667,65.99
2003.5,67.5
2003.58333333333,68.5
2003.66666666667,69.23
2003.75,68.57
2003.83333333333,68.36
2003.91666666667,68.98
2004,69.58
2004.08333333333,71.59
2004.16666666667,73.09
2004.25,74.75
2004.33333333333,76.59
2004.41666666667,79.63
2004.5,80.94
2004.58333333333,80.1
2004.66666666667,78.16
2004.75,76
2004.83333333333,74.71
2004.91666666667,73.6
2005,73.44
2005.08333333333,73.75
2005.16666666667,73.88
2005.25,74
2005.33333333333,74.29
2005.41666666667,74.48
2005.5,74.75
2005.58333333333,74.77
2005.66666666667,75.19
2005.75,74.38
2005.83333333333,72.69
2005.91666666667,71.21
2006,69.86
2006.08333333333,69.18
2006.16666666667,68.29
2006.25,67.52
2006.33333333333,67.87
2006.41666666667,68.98
2006.5,69.9
2006.58333333333,70.42
2006.66666666667,70.69
2006.75,69.65
2006.83333333333,69
2006.91666666667,69.35
2007,71.33
2007.08333333333,73.77
2007.16666666667,76.37
2007.25,78.1
2007.33333333333,79.52
2007.41666666667,80.75
2007.5,81.17
2007.58333333333,81.27
2007.66666666667,81.55
2007.75,79.75
2007.83333333333,77.77
2007.91666666667,76.85
2008,77.25
2008.08333333333,79.15
2008.16666666667,81.23
2008.25,82.04
2008.33333333333,83.46
2008.41666666667,85.71
2008.5,88.25
2008.58333333333,88.42
2008.66666666667,88.4
2008.75,87.54
2008.83333333333,86.93
2008.91666666667,87.02
2009,87.25
2009.08333333333,86.7
2009.16666666667,85.73
2009.25,85.38
2009.33333333333,86.96
2009.41666666667,88.17
2009.5,88.56
2009.58333333333,86.77
2009.66666666667,84.88
2009.75,82.85
2009.83333333333,82.13
2009.91666666667,82.15
2010,83.04
2010.08333333333,83.3
2010.16666666667,84
2010.25,85.28
2010.33333333333,86.45
2010.41666666667,87.17
2010.5,87.84
2010.58333333333,87.79
2010.66666666667,87.75
2010.75,86.73
2010.83333333333,85.46
2010.91666666667,85.35
2011,85
2011.08333333333,85.07
2011.16666666667,86.08
2011.25,86.4
2011.33333333333,86.54
2011.41666666667,86.94
2011.5,87.34
2011.58333333333,88.13
2011.66666666667,88.98
2011.75,89
2011.83333333333,89.23
2011.91666666667,89.82
2012,90.35
2012.08333333333,91.17
2012.16666666667,92.79
2012.25,93.25
2012.33333333333,94.06
2012.41666666667,94.5
2012.5,94.73
2012.58333333333,95.02
2012.66666666667,95.65
2012.75,95.84
2012.83333333333,96.64
2012.91666666667,97.65
2013,99.12
2013.08333333333,100.17
2013.16666666667,101.46
2013.25,102.56
2013.33333333333,104.1
2013.41666666667,105.54
2013.5,106.41
2013.58333333333,106.5
2013.66666666667,106.19
2013.75,105.07
2013.83333333333,104.69
2013.91666666667,104.25
2014,104.4
2014.08333333333,104.5
2014.16666666667,105.25
2014.25,107.27
2014.33333333333,108.79
2014.41666666667,110.88
2014.5,112.6
2014.58333333333,112.79
2014.66666666667,113.52
2014.75,113.89
2014.83333333333,113.93
2014.91666666667,113.77
2015,114.1
2015.08333333333,113.77
2015.16666666667,114.27
2015.25,114.88
2015.33333333333,115.96
2015.41666666667,116
2015.5,115.9
2015.58333333333,115.46
2015.66666666667,115
2015.75,114.27
2015.83333333333,113.36
2015.91666666667,113.06
2016,112.52
2016.08333333333,112.1
2016.16666666667,111.56
2016.25,111.55
2016.33333333333,111.98
2016.41666666667,111.84
2016.5,111.46
